Product Name,Category,Ingredients,Quantity Sold,Price,Cost per Unit,Total Revenue,Discount Applied,Customer Segment,Order Date,Expiration Date,Shelf Life (Days),Customer Age,Customer Gender,Payment Method,Order Type,Wastage Quantity,Review Rating,Packaging Type,When the Product Was Bought
Sourdough,Baked Goods,"Milk, Eggs, Baking Powder",1,165,99.0,165,False,Family,2025-04-14,2025-04-18,4,36,Female,Credit Card,Bulk,1,1.8,Cloth Bag,2025-04-14
Muffin,Cupcakes,"Flour, Baking Powder, Milk",1,256,153.6,256,True,Business,2025-04-16,2025-04-22,6,53,Male,Credit Card,Bulk,2,2.9,Paper Box,2025-04-16
Chocolate Cake,Tarts,"Milk, Sugar, Cocoa",3,239,143.4,717,False,Family,2025-04-17,2025-04-23,6,54,Other,UPI,Bulk,0,3.8,Cloth Bag,2025-04-17
Sourdough,Cakes,"Milk, Sugar, Eggs",2,60,36.0,120,True,Business,2025-04-12,2025-04-16,4,25,Other,Credit Card,Single,0,3.5,Plastic Wrap,2025-04-12
Chocolate Cake,Cupcakes,"Milk, Butter, Baking Powder",2,219,131.4,438,True,Family,2025-04-23,2025-04-26,3,54,Male,Debit Card,Single,1,1.1,Cloth Bag,2025-04-23
Muffin,Baked Goods,"Cocoa, Baking Powder, Eggs",1,144,86.4,144,True,Individual,2025-04-11,2025-04-16,5,23,Female,Cash,Single,2,2.8,Cloth Bag,2025-04-11
Muffin,Pastries,"Milk, Baking Powder, Sugar",3,155,93.0,465,False,Family,2025-04-11,2025-04-16,5,40,Male,Credit Card,Single,0,2.4,Paper Box,2025-04-11
Fruit Tart,Baked Goods,"Flour, Eggs, Milk",1,207,124.2,207,True,Business,2025-04-21,2025-04-26,5,26,Male,Credit Card,Single,1,2.2,Plastic Wrap,2025-04-21
Muffin,Cakes,"Butter, Baking Powder, Cocoa",2,60,36.0,120,True,Family,2025-04-22,2025-04-27,5,52,Male,Credit Card,Bulk,1,3.9,Paper Box,2025-04-22
Croissant,Cakes,"Cocoa, Baking Powder, Flour",1,155,93.0,155,False,Individual,2025-04-20,2025-04-23,3,54,Female,Cash,Bulk,1,4.1,Cloth Bag,2025-04-20
Sourdough,Cakes,"Sugar, Eggs, Baking Powder",3,119,71.4,357,False,Family,2025-04-24,2025-04-27,3,33,Other,Cash,Single,0,1.7,Cloth Bag,2025-04-24
Sourdough,Tarts,"Sugar, Flour, Cocoa",2,185,111.0,370,False,Family,2025-04-12,2025-04-17,5,37,Male,Debit Card,Bulk,0,3.6,Plastic Wrap,2025-04-12
Brownie,Tarts,"Sugar, Baking Powder, Milk",1,246,147.6,246,True,Business,2025-04-13,2025-04-19,6,52,Other,UPI,Bulk,2,4.1,Cloth Bag,2025-04-13
Fruit Tart,Baked Goods,"Butter, Sugar, Baking Powder",3,230,138.0,690,False,Individual,2025-04-16,2025-04-22,6,33,Other,Credit Card,Bulk,0,3.7,Plastic Wrap,2025-04-16
Cheese Pastry,Pastries,"Baking Powder, Milk, Butter",1,62,37.2,62,False,Business,2025-04-19,2025-04-22,3,28,Other,Cash,Bulk,1,1.8,Plastic Wrap,2025-04-19
Sourdough,Cakes,"Cocoa, Eggs, Milk",1,285,171.0,285,True,Business,2025-04-15,2025-04-20,5,36,Other,Cash,Bulk,2,2.7,Paper Box,2025-04-15
Fruit Tart,Pastries,"Cocoa, Milk, Baking Powder",1,147,88.2,147,False,Family,2025-04-21,2025-04-26,5,22,Other,Credit Card,Single,0,1.2,Plastic Wrap,2025-04-21
Brownie,Cakes,"Cocoa, Baking Powder, Butter",1,232,139.2,232,False,Family,2025-04-22,2025-04-27,5,41,Other,Cash,Single,2,3.6,Cloth Bag,2025-04-22
Vanilla Cupcake,Tarts,"Cocoa, Baking Powder, Eggs",3,217,130.2,651,True,Individual,2025-04-22,2025-04-27,5,59,Male,UPI,Bulk,1,2.2,Plastic Wrap,2025-04-22
Vanilla Cupcake,Baked Goods,"Baking Powder, Sugar, Butter",2,296,177.6,592,True,Individual,2025-04-10,2025-04-14,4,40,Other,Cash,Bulk,1,3.3,Cloth Bag,2025-04-10
Sourdough,Cupcakes,"Cocoa, Milk, Baking Powder",3,104,62.4,312,False,Business,2025-04-12,2025-04-16,4,40,Female,Credit Card,Single,1,4.1,Paper Box,2025-04-12
Fruit Tart,Cakes,"Eggs, Cocoa, Baking Powder",1,283,169.8,283,False,Business,2025-04-24,2025-04-27,3,21,Male,Credit Card,Bulk,2,4.4,Paper Box,2025-04-24
Brownie,Tarts,"Sugar, Eggs, Cocoa",3,53,31.8,159,True,Business,2025-04-22,2025-04-28,6,47,Other,Credit Card,Bulk,1,1.6,Paper Box,2025-04-22
Cheese Pastry,Cupcakes,"Eggs, Butter, Cocoa",1,237,142.2,237,True,Business,2025-04-17,2025-04-21,4,38,Other,UPI,Single,2,2.3,Cloth Bag,2025-04-17
Brownie,Baked Goods,"Flour, Eggs, Milk",1,100,60.0,100,True,Business,2025-04-18,2025-04-24,6,35,Female,Debit Card,Single,1,2.0,Paper Box,2025-04-18
Croissant,Baked Goods,"Sugar, Flour, Butter",2,88,52.8,176,False,Business,2025-04-15,2025-04-20,5,25,Other,Cash,Single,1,3.8,Cloth Bag,2025-04-15
Vanilla Cupcake,Baked Goods,"Flour, Eggs, Cocoa",1,242,145.2,242,False,Business,2025-04-21,2025-04-24,3,60,Female,Credit Card,Single,2,3.3,Plastic Wrap,2025-04-21
Sourdough,Cupcakes,"Baking Powder, Milk, Cocoa",2,194,116.4,388,True,Business,2025-04-10,2025-04-13,3,56,Female,UPI,Bulk,1,3.5,Paper Box,2025-04-10
Sourdough,Cupcakes,"Baking Powder, Sugar, Milk",1,182,109.2,182,True,Business,2025-04-13,2025-04-18,5,38,Other,Cash,Bulk,0,2.5,Cloth Bag,2025-04-13
Chocolate Cake,Pastries,"Milk, Eggs, Baking Powder",3,62,37.2,186,True,Business,2025-04-14,2025-04-18,4,39,Female,UPI,Bulk,2,1.5,Cloth Bag,2025-04-14
Cheese Pastry,Pastries,"Milk, Flour, Eggs",1,226,135.6,226,False,Family,2025-04-19,2025-04-25,6,59,Female,UPI,Bulk,2,1.1,Cloth Bag,2025-04-19
Vanilla Cupcake,Cupcakes,"Eggs, Milk, Butter",3,75,45.0,225,True,Business,2025-04-23,2025-04-26,3,44,Male,UPI,Bulk,1,1.6,Paper Box,2025-04-23
Cheese Pastry,Baked Goods,"Milk, Butter, Flour",1,143,85.8,143,False,Family,2025-04-21,2025-04-27,6,56,Female,Debit Card,Single,1,1.5,Plastic Wrap,2025-04-21
Vanilla Cupcake,Cakes,"Eggs, Milk, Flour",3,175,105.0,525,True,Family,2025-04-14,2025-04-18,4,50,Other,Credit Card,Single,1,4.0,Plastic Wrap,2025-04-14
Fruit Tart,Pastries,"Eggs, Sugar, Baking Powder",1,272,163.2,272,True,Business,2025-04-10,2025-04-15,5,49,Female,Credit Card,Bulk,2,2.1,Cloth Bag,2025-04-10
Brownie,Cakes,"Sugar, Eggs, Cocoa",3,277,166.2,831,False,Business,2025-04-14,2025-04-19,5,53,Male,Cash,Single,1,3.9,Paper Box,2025-04-14
Chocolate Cake,Baked Goods,"Milk, Baking Powder, Eggs",2,67,40.2,134,False,Family,2025-04-22,2025-04-25,3,32,Female,Cash,Single,2,4.6,Cloth Bag,2025-04-22
Muffin,Pastries,"Butter, Milk, Cocoa",3,65,39.0,195,False,Individual,2025-04-16,2025-04-21,5,32,Other,Cash,Bulk,1,1.9,Paper Box,2025-04-16
Brownie,Cakes,"Flour, Butter, Baking Powder",1,150,90.0,150,False,Family,2025-04-12,2025-04-17,5,29,Other,Debit Card,Single,2,2.1,Plastic Wrap,2025-04-12
Vanilla Cupcake,Baked Goods,"Butter, Flour, Eggs",1,130,78.0,130,False,Family,2025-04-11,2025-04-15,4,34,Female,Cash,Bulk,2,2.5,Paper Box,2025-04-11
Brownie,Pastries,"Baking Powder, Milk, Eggs",1,137,82.2,137,False,Individual,2025-04-17,2025-04-23,6,29,Female,UPI,Single,1,4.0,Cloth Bag,2025-04-17
Fruit Tart,Pastries,"Milk, Sugar, Butter",1,266,159.6,266,False,Business,2025-04-24,2025-04-29,5,53,Female,UPI,Single,1,1.3,Paper Box,2025-04-24
Cheese Pastry,Baked Goods,"Baking Powder, Milk, Eggs",2,175,105.0,350,True,Business,2025-04-13,2025-04-17,4,19,Other,UPI,Single,2,3.8,Plastic Wrap,2025-04-13
Muffin,Cakes,"Butter, Milk, Flour",2,139,83.4,278,True,Individual,2025-04-14,2025-04-17,3,36,Other,Credit Card,Bulk,0,2.9,Paper Box,2025-04-14
Vanilla Cupcake,Cakes,"Milk, Cocoa, Flour",3,72,43.2,216,False,Family,2025-04-19,2025-04-25,6,39,Male,Cash,Bulk,1,1.5,Plastic Wrap,2025-04-19
Cheese Pastry,Tarts,"Butter, Baking Powder, Milk",1,160,96.0,160,True,Individual,2025-04-21,2025-04-27,6,18,Female,Cash,Single,0,3.8,Plastic Wrap,2025-04-21
Muffin,Pastries,"Sugar, Cocoa, Eggs",1,259,155.4,259,False,Individual,2025-04-14,2025-04-17,3,46,Female,UPI,Bulk,1,4.6,Plastic Wrap,2025-04-14
Muffin,Cakes,"Eggs, Milk, Butter",3,112,67.2,336,False,Family,2025-04-23,2025-04-29,6,33,Female,UPI,Single,1,1.5,Paper Box,2025-04-23
Croissant,Pastries,"Eggs, Baking Powder, Milk",2,181,108.6,362,False,Family,2025-04-16,2025-04-19,3,36,Other,UPI,Single,2,1.5,Cloth Bag,2025-04-16
Chocolate Cake,Tarts,"Butter, Baking Powder, Cocoa",1,85,51.0,85,False,Business,2025-04-24,2025-04-30,6,35,Female,Cash,Single,1,3.6,Plastic Wrap,2025-04-24
Sourdough,Baked Goods,"Cocoa, Butter, Baking Powder",2,177,106.2,354,False,Family,2025-04-21,2025-04-27,6,58,Female,Credit Card,Single,0,1.1,Cloth Bag,2025-04-21
Brownie,Tarts,"Baking Powder, Milk, Flour",3,265,159.0,795,True,Family,2025-04-22,2025-04-26,4,38,Male,Credit Card,Bulk,0,1.3,Cloth Bag,2025-04-22
Muffin,Pastries,"Eggs, Flour, Butter",2,155,93.0,310,True,Business,2025-04-23,2025-04-29,6,39,Male,Cash,Single,2,3.0,Plastic Wrap,2025-04-23
Chocolate Cake,Baked Goods,"Eggs, Butter, Milk",3,165,99.0,495,True,Business,2025-04-22,2025-04-25,3,22,Other,Debit Card,Single,2,4.2,Plastic Wrap,2025-04-22
Sourdough,Cupcakes,"Baking Powder, Eggs, Flour",3,122,73.2,366,True,Family,2025-04-14,2025-04-20,6,20,Female,Credit Card,Bulk,1,1.8,Plastic Wrap,2025-04-14
Chocolate Cake,Baked Goods,"Sugar, Cocoa, Eggs",2,160,96.0,320,False,Family,2025-04-11,2025-04-16,5,43,Other,Credit Card,Single,0,3.9,Plastic Wrap,2025-04-11
Fruit Tart,Pastries,"Baking Powder, Sugar, Eggs",1,215,129.0,215,False,Family,2025-04-20,2025-04-23,3,45,Male,Cash,Bulk,2,4.2,Paper Box,2025-04-20
Brownie,Baked Goods,"Flour, Eggs, Baking Powder",1,173,103.8,173,False,Individual,2025-04-22,2025-04-27,5,26,Other,Debit Card,Bulk,2,4.7,Cloth Bag,2025-04-22
Sourdough,Cakes,"Cocoa, Flour, Butter",3,265,159.0,795,True,Individual,2025-04-11,2025-04-16,5,23,Other,UPI,Single,0,4.1,Plastic Wrap,2025-04-11
Croissant,Baked Goods,"Baking Powder, Eggs, Milk",3,263,157.8,789,True,Business,2025-04-15,2025-04-21,6,23,Female,Cash,Bulk,2,4.3,Paper Box,2025-04-15
Brownie,Cakes,"Cocoa, Butter, Sugar",1,154,92.4,154,False,Individual,2025-04-20,2025-04-25,5,32,Male,Debit Card,Bulk,2,2.0,Paper Box,2025-04-20
Croissant,Pastries,"Sugar, Cocoa, Flour",2,114,68.4,228,False,Business,2025-04-16,2025-04-22,6,26,Other,Credit Card,Bulk,0,1.7,Paper Box,2025-04-16
Fruit Tart,Pastries,"Sugar, Eggs, Baking Powder",2,228,136.8,456,False,Individual,2025-04-20,2025-04-25,5,52,Male,Debit Card,Single,1,1.9,Cloth Bag,2025-04-20
Fruit Tart,Cakes,"Cocoa, Eggs, Butter",3,261,156.6,783,True,Business,2025-04-24,2025-04-27,3,26,Male,UPI,Single,1,4.8,Cloth Bag,2025-04-24
Cheese Pastry,Pastries,"Milk, Baking Powder, Butter",3,185,111.0,555,False,Individual,2025-04-23,2025-04-27,4,37,Other,Credit Card,Bulk,0,4.9,Cloth Bag,2025-04-23
Fruit Tart,Cakes,"Baking Powder, Flour, Milk",2,157,94.2,314,False,Business,2025-04-17,2025-04-20,3,48,Female,Cash,Single,2,4.1,Paper Box,2025-04-17
Fruit Tart,Baked Goods,"Eggs, Butter, Sugar",1,249,149.4,249,True,Family,2025-04-11,2025-04-15,4,29,Female,UPI,Bulk,2,3.9,Paper Box,2025-04-11
Croissant,Cakes,"Eggs, Milk, Flour",3,202,121.2,606,False,Family,2025-04-14,2025-04-20,6,34,Male,Credit Card,Bulk,0,2.2,Plastic Wrap,2025-04-14
Vanilla Cupcake,Cupcakes,"Butter, Eggs, Milk",1,207,124.2,207,False,Family,2025-04-22,2025-04-26,4,34,Other,UPI,Bulk,1,4.5,Cloth Bag,2025-04-22
Chocolate Cake,Cakes,"Baking Powder, Butter, Cocoa",1,217,130.2,217,False,Individual,2025-04-20,2025-04-24,4,51,Female,Debit Card,Bulk,2,2.3,Paper Box,2025-04-20
Croissant,Baked Goods,"Flour, Eggs, Cocoa",1,278,166.8,278,False,Business,2025-04-14,2025-04-17,3,26,Female,Cash,Single,1,4.0,Paper Box,2025-04-14
Vanilla Cupcake,Cakes,"Cocoa, Flour, Milk",2,289,173.4,578,False,Family,2025-04-11,2025-04-17,6,47,Other,Credit Card,Bulk,0,4.9,Paper Box,2025-04-11
Vanilla Cupcake,Cakes,"Butter, Cocoa, Flour",2,81,48.6,162,False,Family,2025-04-12,2025-04-15,3,26,Male,Credit Card,Bulk,0,3.3,Plastic Wrap,2025-04-12
Cheese Pastry,Pastries,"Milk, Baking Powder, Butter",3,120,72.0,360,False,Family,2025-04-19,2025-04-25,6,19,Other,Cash,Bulk,1,2.6,Cloth Bag,2025-04-19
Cheese Pastry,Cakes,"Milk, Baking Powder, Eggs",1,273,163.8,273,True,Business,2025-04-13,2025-04-17,4,53,Other,UPI,Single,0,2.7,Cloth Bag,2025-04-13
Brownie,Cakes,"Sugar, Eggs, Flour",1,295,177.0,295,True,Family,2025-04-22,2025-04-25,3,39,Female,Debit Card,Bulk,0,4.1,Plastic Wrap,2025-04-22
Vanilla Cupcake,Cakes,"Sugar, Milk, Butter",1,244,146.4,244,True,Individual,2025-04-17,2025-04-23,6,47,Male,Debit Card,Bulk,2,1.5,Plastic Wrap,2025-04-17
Vanilla Cupcake,Cakes,"Eggs, Cocoa, Sugar",2,173,103.8,346,False,Individual,2025-04-19,2025-04-24,5,59,Male,Cash,Bulk,0,1.8,Plastic Wrap,2025-04-19
Sourdough,Tarts,"Butter, Sugar, Flour",2,91,54.6,182,True,Family,2025-04-12,2025-04-17,5,42,Other,Cash,Bulk,1,1.3,Paper Box,2025-04-12
Brownie,Baked Goods,"Butter, Eggs, Milk",3,214,128.4,642,True,Business,2025-04-16,2025-04-19,3,18,Male,Debit Card,Single,0,1.4,Plastic Wrap,2025-04-16
Croissant,Cakes,"Flour, Baking Powder, Butter",3,190,114.0,570,True,Individual,2025-04-17,2025-04-22,5,30,Other,Debit Card,Bulk,0,3.5,Paper Box,2025-04-17
Fruit Tart,Pastries,"Butter, Flour, Eggs",1,84,50.4,84,False,Individual,2025-04-18,2025-04-24,6,41,Female,Credit Card,Bulk,2,4.8,Plastic Wrap,2025-04-18
Vanilla Cupcake,Pastries,"Flour, Butter, Milk",2,64,38.4,128,False,Individual,2025-04-14,2025-04-18,4,50,Other,Cash,Bulk,0,3.0,Cloth Bag,2025-04-14
Chocolate Cake,Pastries,"Sugar, Milk, Flour",1,78,46.8,78,True,Individual,2025-04-21,2025-04-26,5,37,Female,Cash,Single,2,4.3,Plastic Wrap,2025-04-21
Croissant,Cakes,"Milk, Butter, Cocoa",1,218,130.8,218,True,Business,2025-04-11,2025-04-16,5,56,Male,Credit Card,Bulk,2,2.9,Paper Box,2025-04-11
Fruit Tart,Baked Goods,"Butter, Milk, Sugar",1,143,85.8,143,False,Business,2025-04-15,2025-04-19,4,28,Female,UPI,Bulk,1,2.9,Paper Box,2025-04-15
Fruit Tart,Pastries,"Milk, Cocoa, Eggs",3,261,156.6,783,True,Family,2025-04-23,2025-04-26,3,44,Female,Cash,Bulk,0,1.8,Cloth Bag,2025-04-23
Brownie,Cakes,"Flour, Sugar, Milk",3,262,157.2,786,True,Family,2025-04-20,2025-04-23,3,35,Male,Cash,Bulk,1,4.2,Paper Box,2025-04-20
Vanilla Cupcake,Cupcakes,"Eggs, Flour, Butter",1,109,65.4,109,True,Business,2025-04-22,2025-04-27,5,48,Male,Cash,Bulk,1,3.9,Paper Box,2025-04-22
Fruit Tart,Cakes,"Flour, Cocoa, Sugar",2,267,160.2,534,True,Business,2025-04-10,2025-04-14,4,53,Other,Debit Card,Single,0,4.0,Cloth Bag,2025-04-10
Cheese Pastry,Tarts,"Butter, Milk, Flour",2,197,118.2,394,False,Family,2025-04-12,2025-04-15,3,56,Male,Credit Card,Bulk,0,1.7,Paper Box,2025-04-12
Chocolate Cake,Tarts,"Sugar, Flour, Milk",1,206,123.6,206,True,Business,2025-04-24,2025-04-30,6,18,Other,Credit Card,Single,0,3.8,Paper Box,2025-04-24
Fruit Tart,Baked Goods,"Sugar, Milk, Baking Powder",1,268,160.8,268,True,Individual,2025-04-11,2025-04-16,5,21,Other,Cash,Bulk,0,3.2,Cloth Bag,2025-04-11
Brownie,Tarts,"Milk, Cocoa, Butter",3,262,157.2,786,False,Business,2025-04-16,2025-04-20,4,18,Female,Credit Card,Single,0,4.6,Paper Box,2025-04-16
Brownie,Baked Goods,"Butter, Sugar, Baking Powder",2,138,82.8,276,False,Family,2025-04-14,2025-04-18,4,44,Other,Cash,Bulk,2,1.5,Plastic Wrap,2025-04-14
Fruit Tart,Baked Goods,"Flour, Butter, Baking Powder",2,215,129.0,430,False,Family,2025-04-15,2025-04-21,6,30,Male,UPI,Bulk,0,4.7,Paper Box,2025-04-15
Fruit Tart,Pastries,"Sugar, Baking Powder, Cocoa",3,147,88.2,441,True,Family,2025-04-20,2025-04-23,3,31,Male,UPI,Bulk,0,3.3,Plastic Wrap,2025-04-20
Fruit Tart,Pastries,"Sugar, Milk, Flour",1,132,79.2,132,False,Business,2025-04-10,2025-04-15,5,32,Other,UPI,Bulk,0,1.9,Plastic Wrap,2025-04-10
Brownie,Pastries,"Milk, Sugar, Flour",3,105,63.0,315,False,Business,2025-04-20,2025-04-23,3,30,Other,Cash,Single,0,4.3,Cloth Bag,2025-04-20
Croissant,Baked Goods,"Butter, Eggs, Milk",3,248,148.8,744,False,Business,2025-04-11,2025-04-14,3,50,Female,Credit Card,Single,2,3.9,Plastic Wrap,2025-04-11
Vanilla Cupcake,Baked Goods,"Baking Powder, Cocoa, Flour",1,114,68.4,114,False,Business,2025-04-14,2025-04-18,4,36,Other,Cash,Single,0,4.7,Plastic Wrap,2025-04-14
Chocolate Cake,Cakes,"Baking Powder, Cocoa, Butter",1,277,166.2,277,False,Individual,2025-04-10,2025-04-16,6,49,Male,UPI,Single,0,3.6,Paper Box,2025-04-10
Croissant,Cupcakes,"Sugar, Butter, Eggs",3,65,39.0,195,False,Family,2025-04-10,2025-04-15,5,40,Female,Debit Card,Bulk,2,1.9,Paper Box,2025-04-10
Fruit Tart,Cakes,"Butter, Flour, Eggs",2,267,160.2,534,False,Family,2025-04-17,2025-04-22,5,45,Other,Credit Card,Single,2,4.6,Paper Box,2025-04-17
Sourdough,Baked Goods,"Butter, Cocoa, Baking Powder",2,64,38.4,128,True,Individual,2025-04-21,2025-04-25,4,27,Other,UPI,Single,1,1.5,Cloth Bag,2025-04-21
Brownie,Cakes,"Cocoa, Sugar, Butter",3,258,154.8,774,True,Business,2025-04-24,2025-04-27,3,41,Other,Credit Card,Single,0,2.0,Paper Box,2025-04-24
Muffin,Baked Goods,"Milk, Baking Powder, Eggs",2,213,127.8,426,False,Individual,2025-04-13,2025-04-17,4,60,Female,Debit Card,Single,0,2.5,Plastic Wrap,2025-04-13
Croissant,Pastries,"Eggs, Milk, Baking Powder",1,261,156.6,261,False,Business,2025-04-20,2025-04-24,4,25,Male,Credit Card,Bulk,0,4.6,Plastic Wrap,2025-04-20
Muffin,Cakes,"Eggs, Flour, Milk",2,247,148.2,494,False,Individual,2025-04-20,2025-04-25,5,35,Other,Credit Card,Single,0,4.6,Paper Box,2025-04-20
Croissant,Pastries,"Butter, Milk, Baking Powder",2,164,98.4,328,True,Family,2025-04-21,2025-04-26,5,54,Other,Debit Card,Bulk,2,3.7,Cloth Bag,2025-04-21
Chocolate Cake,Pastries,"Baking Powder, Flour, Eggs",2,228,136.8,456,False,Business,2025-04-23,2025-04-26,3,43,Male,Credit Card,Bulk,2,4.6,Plastic Wrap,2025-04-23
Croissant,Baked Goods,"Butter, Cocoa, Baking Powder",1,246,147.6,246,False,Family,2025-04-23,2025-04-26,3,55,Other,UPI,Bulk,0,4.0,Cloth Bag,2025-04-23
Chocolate Cake,Cakes,"Cocoa, Milk, Sugar",3,127,76.2,381,True,Family,2025-04-22,2025-04-25,3,29,Other,UPI,Single,0,2.3,Paper Box,2025-04-22
Sourdough,Pastries,"Cocoa, Flour, Milk",2,72,43.2,144,False,Family,2025-04-22,2025-04-25,3,31,Male,UPI,Single,2,3.8,Cloth Bag,2025-04-22
Fruit Tart,Cakes,"Eggs, Milk, Butter",3,273,163.8,819,False,Family,2025-04-14,2025-04-17,3,59,Other,UPI,Bulk,2,3.6,Plastic Wrap,2025-04-14
Vanilla Cupcake,Cakes,"Flour, Baking Powder, Eggs",2,55,33.0,110,False,Individual,2025-04-16,2025-04-19,3,52,Female,Debit Card,Single,0,3.4,Plastic Wrap,2025-04-16
Chocolate Cake,Tarts,"Eggs, Sugar, Baking Powder",3,275,165.0,825,False,Business,2025-04-23,2025-04-26,3,19,Male,Credit Card,Bulk,0,2.3,Cloth Bag,2025-04-23
Muffin,Tarts,"Cocoa, Milk, Baking Powder",1,50,30.0,50,True,Family,2025-04-22,2025-04-26,4,18,Other,Debit Card,Single,2,4.3,Plastic Wrap,2025-04-22
Brownie,Cupcakes,"Eggs, Milk, Baking Powder",3,153,91.8,459,True,Individual,2025-04-16,2025-04-19,3,37,Other,Debit Card,Bulk,2,2.0,Plastic Wrap,2025-04-16
Chocolate Cake,Tarts,"Cocoa, Flour, Sugar",2,152,91.2,304,True,Family,2025-04-18,2025-04-21,3,35,Other,Credit Card,Bulk,0,4.7,Plastic Wrap,2025-04-18
Vanilla Cupcake,Cakes,"Eggs, Milk, Butter",3,100,60.0,300,False,Family,2025-04-13,2025-04-18,5,45,Other,Cash,Bulk,1,1.2,Plastic Wrap,2025-04-13
Vanilla Cupcake,Cakes,"Flour, Cocoa, Butter",2,272,163.2,544,False,Business,2025-04-12,2025-04-16,4,44,Female,Debit Card,Bulk,1,1.4,Cloth Bag,2025-04-12
Sourdough,Pastries,"Butter, Eggs, Milk",3,57,34.2,171,False,Family,2025-04-12,2025-04-16,4,37,Male,Credit Card,Bulk,1,1.1,Plastic Wrap,2025-04-12
Croissant,Tarts,"Cocoa, Flour, Baking Powder",3,79,47.4,237,False,Family,2025-04-12,2025-04-18,6,21,Other,UPI,Single,2,2.7,Paper Box,2025-04-12
Croissant,Cakes,"Butter, Eggs, Flour",1,131,78.6,131,True,Business,2025-04-12,2025-04-17,5,58,Male,UPI,Bulk,0,3.9,Cloth Bag,2025-04-12
Chocolate Cake,Pastries,"Cocoa, Milk, Eggs",2,147,88.2,294,True,Family,2025-04-24,2025-04-27,3,53,Male,Cash,Single,1,1.3,Plastic Wrap,2025-04-24
Vanilla Cupcake,Tarts,"Sugar, Flour, Butter",1,85,51.0,85,False,Individual,2025-04-23,2025-04-29,6,19,Male,Debit Card,Single,1,2.0,Paper Box,2025-04-23
Fruit Tart,Tarts,"Butter, Sugar, Milk",2,174,104.4,348,True,Business,2025-04-13,2025-04-17,4,37,Other,UPI,Single,0,1.7,Paper Box,2025-04-13
Vanilla Cupcake,Pastries,"Eggs, Flour, Sugar",1,62,37.2,62,True,Business,2025-04-15,2025-04-18,3,36,Female,Cash,Bulk,2,4.1,Plastic Wrap,2025-04-15
Fruit Tart,Pastries,"Sugar, Milk, Cocoa",3,265,159.0,795,True,Family,2025-04-18,2025-04-21,3,38,Other,Cash,Single,1,2.5,Plastic Wrap,2025-04-18
Chocolate Cake,Cakes,"Flour, Cocoa, Milk",1,266,159.6,266,False,Business,2025-04-19,2025-04-25,6,23,Male,UPI,Single,1,3.7,Cloth Bag,2025-04-19
Sourdough,Pastries,"Milk, Sugar, Cocoa",2,224,134.4,448,True,Individual,2025-04-17,2025-04-20,3,52,Female,UPI,Bulk,1,2.9,Paper Box,2025-04-17
Chocolate Cake,Cakes,"Flour, Cocoa, Eggs",2,59,35.4,118,False,Business,2025-04-16,2025-04-22,6,42,Male,Debit Card,Single,0,4.9,Paper Box,2025-04-16
